,,,"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)"
"Republic of Korea","Data source","All types","9.06","8.90"
"Republic of Moldova","Data source","All types","9.39","7.55"
"Romania","Data source","All types","10.40","10.79"
"Russian Federation","Data source","All types","8.41","10.98"
"Rwanda","Data source","All types","6.91","7.70"
"Saint Kitts and Nevis","Data source","All types","8.80","8.38"
"Saint Lucia","Data source","All types","9.66","10.68"
"Saint Vincent and the Grenadines","Data source","All types","7.25","6.99"
"Samoa","Data source","All types","1.97","3.01"
"Sao Tome and Principe","Data source","All types","4.85","5.80"
"Saudi Arabia","Data source","All types","0.08","0.08"
"Senegal","Data source","All types","0.25","0.28"
"Serbia","Data source","All types","9.13","9.09"
"Seychelles","Data source","All types","11.50","5.92"
"Sierra Leone","Data source","All types","3.42","3.91"
"Singapore","Data source","All types","1.80","1.84"
"Slovakia","Data source","All types","10.78","10.55"
"Slovenia","Data source","All types","11.49","10.31"
"Solomon Islands","Data source","All types","0.98","1.09"
"Somalia","Data source","All types","0","0"
"South Africa","Data source","All types","7.12","7.28"
"Spain","Data source","All types","8.26","9.78"
"Sri Lanka","Data source","All types","2.72","2.31"
"Sudan","Data source","All types","",""
"Suriname","Data source","All types","4.69","5.27"
"Swaziland","Data source","All types","7.38","5.65"
"Sweden","Data source","All types","7.16","7.31"
"Switzerland","Data source","All types","9.62","10.01"
"Syrian Arab Republic","Data source","All types","0.23","0.76"
"Tajikistan","Data source","All types","0.90","0.67"
"Thailand","Data source","All types","6.57","6.70"
"The former Yugoslav republic of Macedonia","Data source","All types","4.68","3.76"
"Timor-Leste","Data source","All types","0.56","0.09"
"Togo","Data source","All types","1.66","1.30"
"Tonga","Data source","All types","","1.24"
"Trinidad and Tobago","Data source","All types","6.87","6.50"
"Tunisia","Data source","All types","1.42","1.27"
"Turkey","Data source","All types","1.40","1.49"
"Turkmenistan","Data source","All types","3.39","3.55"
"Tuvalu","Data source","All types","","1.02"
"Uganda","Data source","All types","7.63","11.30"
"Ukraine","Data source","All types","5.75","8.81"
"United Arab Emirates","Data source","All types","2.03","1.70"
"United Kingdom of Great Britain and Northern Ireland","Data source","All types","9.82","10.22"
"United Republic of Tanzania","Data source","All types","6.16","6.65"
"United States of America","Data source","All types","8.78","8.56"
"Uruguay","Data source","All types","9.03","8.52"
"Uzbekistan","Data source","All types","1.61","1.79"
"Vanuatu","Data source","All types","0.85","0.91"
"Venezuela (Bolivarian Republic of)","Data source","All types","5.98","7.18"
"Viet Nam","Data source","All types","2.92","2.18"
"Yemen","Data source","All types","0.04","0.05"
"Zambia","Data source","All types","2.89","2.95"
"Zimbabwe","Data source","All types","3.55","2.92"
