"","country","wb.countrycode","pop.2015","happiness.score","hdi.2015","years.schooling","suicide.per100k","homicide.per100k","prison.pop.100k","consumption.percapita"
"77","Sri Lanka","LKA",20966000,4.271,0.766,10.9,14.8,3.1,94,2.72
"78","Lesotho","LSO",2174645,4.898,0.497,6.1,21,35.2,92,2.88
"79","Lithuania","LTU",2904910,5.833,0.848,12.7,34.9,6,235,14.42
"81","Latvia","LVA",1977527,5.098,0.83,11.7,21.6,6.1,218,10.82
"82","Morocco","MAR",34803322,5.013,0.647,5,2.9,1.4,232,0.38
"83","Moldova","MDA",3554108,5.889,0.699,11.9,16.4,5.4,215,9.39
"84","Madagascar","MDG",24234088,3.681,0.512,6.1,4,7,82,0.87
"85","Mexico","MEX",125890949,7.187,0.762,8.6,5.6,16.6,165,5.28
"86","Macedonia","MKD",2079308,5.007,0.748,9.4,7.8,1.6,134,4.68
"87","Mali","MLI",17467905,3.995,0.442,2.3,4.8,11.3,33,0.58
"89","Myanmar (Burma)","MMR",52403669,4.307,0.556,4.7,7.6,4.1,145,1.6
"91","Mongolia","MNG",2976877,4.874,0.735,9.8,13.1,9,262,5.66
"92","Mozambique","MOZ",28010691,4.971,0.418,3.5,4.9,2.6,65,1.23
"93","Mauritania","MRT",4182341,4.436,0.513,4.3,4.3,11,46,0
"94","Mauritius","MUS",1262605,5.477,0.781,9.1,8.5,2.4,195,2.58
"95","Malawi","MWI",17573607,4.292,0.476,4.4,3.6,1.5,80,2
"96","Malaysia","MYS",30723155,5.77,0.789,10.1,5.4,4.1,167,0.64
"97","Niger","NER",19896965,3.845,0.353,1.7,4.7,10.4,53,0.11
"98","Nigeria","NGA",181181744,5.268,0.527,6,9.6,9.9,36,9.62
"99","Nicaragua","NIC",6082035,5.828,0.645,6.5,12.2,13.8,276,3.73
"100","Netherlands","NLD",16939923,7.378,0.924,11.9,12.5,0.6,59,8.03
"101","Norway","NOR",5190239,7.522,0.949,12.7,12.4,0.6,74,5.97
"102","Nepal","NPL",28656282,4.514,0.558,4.1,9.1,3.3,65,0.58
"103","New Zealand","NZL",4595700,7.286,0.915,12.5,12.1,1.1,220,8.87
"104","Oman","OMN",4199810,6.853,0.796,8.1,4.1,5.2,36,0.39
"105","Pakistan","PAK",189380513,5.194,0.55,5.1,2.9,9.6,43,0.04
"106","Panama","PAN",3969249,6.786,0.788,9.9,3.9,20.5,390,6.92
"107","Peru","PER",31376671,5.824,0.74,9,4.9,11.6,267,5.1
"108","Philippines","PHL",101716359,5.073,0.682,9.3,3.2,15.4,172,4.41
"109","Poland","POL",37986412,5.791,0.855,11.9,15.8,1,198,10.48
"110","Portugal","PRT",10358076,5.102,0.843,8.9,13.8,1.3,129,10.54
"111","Paraguay","PRY",6639119,5.878,0.693,8.1,9.9,8.8,199,5.63
"112","Qatar","QAT",2481539,6.611,0.856,9.8,6.5,7.4,53,1.26
"113","Romania","ROU",19815481,5.124,0.802,10.8,11.6,1.6,116,10.4
"114","Russia","RUS",144096870,5.716,0.804,12,32.1,11.5,409,8.41
"115","Rwanda","RWA",11629553,3.465,0.498,3.8,6.8,5.6,464,6.91
"116","Saudi Arabia","SAU",31557144,6.411,0.847,9.6,3.2,6.3,197,0.08
"117","Senegal","SEN",14976994,3.904,0.494,2.8,6.2,8,76,0.25
"118","Singapore","SGP",5535002,6.798,0.925,11.6,9,0.2,201,1.8
"119","Sierra Leone","SLE",7237025,4.507,0.42,3.3,9.3,13.1,64,3.42
"120","El Salvador","SLV",6312478,6.13,0.68,6.5,14,45.8,609,2.57
"121","Serbia","SRB",7095383,5.123,0.776,10.8,15,1.5,152,9.13
"123","Slovakia","SVK",5423801,5.995,0.845,12.2,12.8,1.3,190,10.78
"124","Slovenia","SVN",2063531,5.848,0.89,12.1,21,0.7,64,11.49
"125","Sweden","SWE",9799186,7.364,0.913,12.3,15.7,1.2,57,7.16
"126","Syria","SYR",18734987,3.006,0.536,5.1,1.9,2.4,60,0.23
"127","Chad","TCD",14009413,3.667,0.396,2.3,8.9,9.6,59,0.69
"128","Togo","TGO",7416802,2.839,0.487,4.7,9.4,9.3,64,1.66
"129","Thailand","THA",68657600,6.455,0.74,7.9,14.6,5.1,506,6.57
"130","Tajikistan","TJK",8548651,4.786,0.627,10.4,2.5,1.4,121,0.9
"131","Turkmenistan","TKM",5565284,5.548,0.692,9.9,7.2,4.3,552,3.39
"132","Trinidad & Tobago","TTO",1360092,6.168,0.78,10.9,13.6,42.4,270,6.87
"133","Tunisia","TUN",11273661,4.739,0.725,7.1,3.4,1.7,180,1.42
"134","Turkey","TUR",78271472,5.332,0.767,7.9,7.3,2.7,287,1.4
"135","Tanzania","TZA",53879957,3.781,0.531,5.8,5.4,7.8,58,6.16
"136","Uganda","UGA",40144870,3.931,0.493,5.7,9.9,12.6,129,7.63
"137","Ukraine","UKR",45154029,4.681,0.743,11.3,23.1,4.6,157,5.75
"138","Uruguay","URY",3431552,6.485,0.795,8.6,19.4,7.4,321,9.03
"139","United States","USA",321039839,7.119,0.92,13.2,15,6,655,8.78
"140","Uzbekistan","UZB",31298900,6.003,0.701,12,7.4,1.9,150,1.61
"141","Venezuela","VEN",31155134,6.81,0.767,9.4,3.8,50.9,178,5.98
"142","Vietnam","VNM",93571567,5.36,0.683,8,7.2,3.9,122,2.92
"143","Yemen","YEM",26916207,4.077,0.482,3,8.6,6,53,0.04
"144","South Africa","ZAF",55291225,4.642,0.666,10.3,11.8,33.5,280,7.12
"145","Zambia","ZMB",16100587,5.129,0.579,6.9,6.1,10.2,146,2.89
"146","Zimbabwe","ZWE",15777451,4.61,0.516,7.7,10.6,14.9,120,3.55
